                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3939,                0.89046,                 1.4703,                0.83039,                0.78967,                0.79429,                0.43536,                  1.564,                 1.0758,                 1.7507,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.3858,                0.91683,                 1.4941,                0.73809,                0.78788,                0.77353,                0.41055,                 1.5632,                 1.1125,                 1.7471,               0.001538,               0.001538,               0.001538
                     37,                 1.3176,                0.85473,                 1.4512,                0.85946,                0.70968,                0.81016,                0.45122,                  1.523,                 1.0172,                 1.7018,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.3083,                0.80604,                 1.4291,                0.80528,                0.76344,                0.79812,                0.42465,                 1.5889,                0.97912,                  1.743,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.3047,                0.84905,                 1.4661,                0.88604,                0.74194,                0.84176,                0.44129,                 1.5813,                0.97471,                 1.7271,              0.0014984,              0.0014984,              0.0014984
                     40,                  1.368,                0.84698,                 1.4756,                0.76641,                0.77419,                0.80857,                0.44708,                 1.5706,                 1.0411,                 1.7866,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.3192,                0.85909,                 1.4508,                0.76299,                0.72697,                0.76363,                0.40517,                 1.6148,                 1.1042,                 1.8291,               0.001472,               0.001472,               0.001472
                     42,                  1.321,                0.85633,                 1.4666,                0.78008,                0.74194,                0.78803,                0.41104,                 1.5788,                 1.1273,                 1.7613,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.2977,                0.81836,                 1.4299,                0.82878,                0.78076,                0.81959,                0.42189,                 1.6479,                 1.0047,                 1.7743,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.3062,                0.82831,                 1.4686,                0.73017,                0.81473,                0.82242,                0.44536,                 1.6257,                 0.9577,                 1.7756,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.3107,                0.78296,                 1.4431,                0.82351,                0.75269,                 0.7804,                0.41397,                 1.6757,                 1.0684,                 1.8007,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.3332,                0.81263,                 1.4184,                0.85998,                0.74194,                 0.8081,                0.44789,                 1.5502,                0.99926,                 1.7306,               0.001406,               0.001406,               0.001406
                     47,                 1.2932,                0.78135,                 1.4087,                0.81229,                0.76344,                0.81375,                0.44102,                  1.588,                0.92933,                 1.7781,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.3247,                0.78347,                 1.4654,                0.81237,                0.80645,                0.81163,                0.40648,                 1.7562,                0.94306,                 1.8762,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.2947,                0.79113,                 1.4395,                0.85138,                 0.8008,                0.80667,                0.43953,                  1.587,                0.88999,                 1.7897,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.2737,                0.76602,                 1.4048,                0.84115,                0.75269,                0.81596,                0.47016,                 1.4534,                0.94645,                 1.7045,              0.0013532,              0.0013532,              0.0013532
                     51,                  1.275,                0.79762,                 1.4169,                0.86515,                0.82785,                 0.8723,                0.49454,                 1.5001,                0.87105,                 1.6876,                0.00134,                0.00134,                0.00134
                     52,                 1.2239,                 0.7554,                 1.3882,                0.90245,                0.79579,                0.88657,                0.49356,                 1.5315,                0.89095,                 1.7129,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.1929,                0.73847,                 1.3631,                0.88686,                0.73118,                0.83588,                0.49578,                 1.4865,                0.88058,                  1.703,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.2312,                 0.7413,                 1.3882,                 0.7841,                 0.8172,                0.84872,                0.48653,                 1.5032,                0.83477,                 1.7515,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.2314,                0.71248,                 1.3631,                0.85316,                0.81217,                0.84694,                0.48075,                 1.4477,                0.85807,                 1.6931,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.2205,                0.74828,                 1.3834,                0.85707,                0.83825,                0.84594,                0.47067,                 1.5355,                0.88647,                 1.6936,               0.001274,               0.001274,               0.001274
                     57,                 1.2279,                0.73526,                 1.3581,                0.87014,                 0.7926,                0.79919,                0.44136,                 1.5168,                0.90662,                 1.7369,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.1876,                0.72485,                 1.3866,                0.84516,                0.77419,                 0.7917,                0.43533,                 1.5653,                0.98541,                 1.7297,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.2285,                0.75534,                 1.3748,                0.88268,                0.83871,                0.87492,                  0.525,                 1.4259,                0.84535,                 1.6542,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.1436,                0.70275,                 1.3387,                 0.8436,                0.82796,                0.85533,                0.49384,                 1.4724,                0.83909,                 1.6852,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.1331,                0.67357,                 1.3108,                0.81582,                0.80973,                0.83987,                 0.4784,                 1.4973,                0.88049,                 1.7174,               0.001208,               0.001208,               0.001208
                     62,                 1.1739,                0.70095,                  1.333,                0.74721,                0.82639,                0.79177,                0.44933,                 1.5549,                 0.9582,                 1.7295,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.1259,                 0.7124,                 1.3239,                0.86839,                0.76344,                0.82079,                0.49131,                 1.4716,                0.90642,                 1.7087,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.1741,                0.68678,                 1.3112,                0.89609,                0.75269,                0.85306,                0.48805,                 1.5117,                0.88055,                 1.7401,              0.0011684,              0.0011684,              0.0011684
